Регион таргетинга;Показы;Клики;Расход (руб.);Конверсия (%);Цена цели (руб.);Конверсии
Абакан;2352;33;706,44;6,06;353,22;2
Азов;488;7;155,68;-;-;-
Актау;47526;200;2381,51;0,5;2381,51;1
Актау и Мангистауская область (более точно регион не определён);4111;11;126,04;-;-;-
Александров;754;12;162,88;-;-;-
Александровский район (более точно регион не определён);396;11;230,7;-;-;-
Алексеевка;450;9;58,83;-;-;-
Алексеевский район (более точно регион не определён);63;1;16,34;-;-;-
Алмалык;4;0;0;-;-;-
Алматы;160785;1047;9732,43;1,05;884,77;11
Алтайский край (более точно регион не определён);3053;90;1698,47;-;-;-
Алушта;744;5;178,28;-;-;-
Альметьевск;968;28;443,98;-;-;-
Амурск;123;3;39,25;-;-;-
Амурский район (более точно регион не определён);27;1;9,95;-;-;-
Анапа;3108;71;1310,68;2,82;655,34;2
Ангарск;1684;36;744,1;-;-;-
Ангрен;7;0;0;-;-;-
Андижан;21;1;24,67;-;-;-
Андижанская область (более точно регион не определён);24;0;0;-;-;-
Анжеро-Судженск;320;5;136,17;20;136,17;1
Апатиты;1122;5;61,56;-;-;-
Апрелевка;214;8;274,01;-;-;-
Арзамас;761;10;419,13;-;-;-
Армавир;1012;22;530,4;-;-;-
Армения (более точно регион не определён);4;0;0;-;-;-
Армянск;141;0;0;-;-;-
Арсеньев;179;5;163,66;-;-;-
Артём;543;26;691,08;-;-;-
Архангельск;4621;77;1683,17;-;-;-
Архангельская область (более точно регион не определён);1949;21;406,55;-;-;-
Асбест;491;7;130,51;-;-;-
Астана;123625;678;6853,37;2,51;403,14;17
Акмолинская область (более точно регион не определён);29310;117;1291,55;3,42;322,89;4
Астрахань;5524;116;2470,31;1,72;1235,15;2
Астраханская область (более точно регион не определён);1062;21;659,21;-;-;-
Атырау;47227;190;1932,29;2,63;386,46;5
Атырау и область (более точно регион не определён);7981;27;214,56;-;-;-
Ахтубинск;239;2;22,59;-;-;-
Ахтубинский район (более точно регион не определён);45;1;0,35;-;-;-
Ачинск;510;7;146,62;-;-;-
Аша;103;2;102,73;-;-;-
Баку;1024989;4291;26032,57;0,28;2169,38;12
Балаково;1679;33;496,94;-;-;-
Балаковский район (более точно регион не определён);40;1;41,04;-;-;-
Балашиха;4796;116;2223,02;0,86;2223,02;1
Балашов;591;12;240,09;-;-;-
Балашовский район (более точно регион не определён);60;1;32,94;-;-;-
Барабинск;100;2;23,32;-;-;-
Барнаул;8058;197;4704,86;0,51;4704,86;1
Батайск;837;20;539,56;-;-;-
Бахчисарай;325;5;36,48;-;-;-
Бахчисарайский район (более точно регион не определён);447;16;448,52;6,25;448,52;1
Бекабад;4;1;19,93;-;-;-
Белая Калитва;267;3;48,21;-;-;-
Белгород;5598;106;2467,59;0,94;2467,59;1
Белгородская область (более точно регион не определён);3384;74;1185,39;-;-;-
Белебеевский район (более точно регион не определён);326;5;164,68;-;-;-
Белебей;500;6;81,43;-;-;-
Белово;342;9;190,78;-;-;-
Белогорск;374;3;30,38;-;-;-
Белокалитвинский район (более точно регион не определён);184;2;19,65;-;-;-
Белоозерский;119;4;62,93;-;-;-
Белорецк;237;4;90,99;-;-;-
