Регион,Координаты
Санкт-Петербург,"[59.9343,30.3351]"
Барнаул,"[53.3606,83.7636]"
Рязань,"[54.6269,39.6916]"
Саратов,"[51.5336,46.0342]"
Воронеж,"[51.6720,39.1843]"
Краснодар,"[45.0355,38.9753]"
Оренбург,"[51.7682,55.0970]"
Казахстан,"[48.0196,66.9237]"
Самара,"[53.1959,50.1002]"
Владивосток,"[43.1155,131.8855]"
Казань,"[55.7961,49.1064]"
Томск,"[56.4846,84.9476]"
Республика Крым,"[44.9521,34.1024]"
Сыктывкар,"[61.6764,50.8099]"
Москва,"[55.7558,37.6176]"
Нижний Новгород,"[56.3269,44.0059]"
Новосибирск,"[55.0084,82.9357]"
Чебоксары,"[56.1439,47.2489]"
Ставропольский край,"[45.0428,41.9734]"
Белгород,"[50.5955,36.5872]"
Актау,"[43.6500,51.1667]"
Владимир,"[56.1290,40.4066]"
Кемерово,"[55.3545,86.0883]"
Балашиха,"[55.8094,37.9581]"
Баку,"[40.4093,49.8671]"
Кострома,"[57.7678,40.9269]"
Хабаровск,"[48.4802,135.0719]"
Свердловская область,"[56.8389,60.6057]"
Москва и область,"[55.7558,37.6176]"
Иркутск,"[52.2864,104.2807]"
Ростовская область,"[47.2224,39.7187]"
Киров,"[58.6036,49.6680]"
Челябинск,"[55.1644,61.4368]"
Россия,"[62.0000,94.0000]"
Уфа,"[54.7351,55.9587]"
Оренбургская область,"[51.7682,55.0970]"
Республика Башкортостан,"[54.7351,55.9587]"
Подольск,"[55.4317,37.5450]"
Брянск,"[53.2436,34.3639]"
Пермь,"[58.0105,56.2502]"
Новокузнецк,"[53.7557,87.1099]"
Волгоград,"[48.7071,44.5169]"
Пенза,"[53.1950,45.0183]"
Вологда,"[59.2205,39.8916]"
Рязанская область,"[54.6269,39.6916]"
Калуга,"[54.5138,36.2612]"
Тюмень,"[57.1522,65.5272]"
Благовещенск,"[50.2907,127.5272]"
Екатеринбург,"[56.8389,60.6057]"
Сургут,"[61.2537,73.3962]"
Йошкар-Ола,"[56.6344,47.8999]"
Курган,"[55.4408,65.3411]"
Ярославль,"[57.6261,39.8845]"
Тюменская область,"[57.1522,65.5272]"
Самарская область,"[53.1959,50.1002]"
Павлодар,"[52.3005,76.9536]"
Челябинская область,"[55.1644,61.4368]"
Красноярск,"[56.0184,92.8672]"
Астрахань,"[46.3479,48.0336]"
Петрозаводск,"[61.7850,34.3468]"
Одинцовский район,"[55.6784,37.2777]"
Ханты-Мансийский автономный округ - Югра,"[61.0032,69.0189]"
Тула,"[54.1931,37.6173]"
Геленджик,"[44.5635,38.0758]"
Ижевск,"[56.8527,53.2115]"
Кызыл,"[51.7191,94.4378]"
Липецкая область,"[52.6088,39.5992]"
Череповец,"[59.1266,37.9092]"
Якутск,"[62.0278,129.7315]"
Ивановская область,"[57.0004,40.9739]"
Евпатория,"[45.1905,33.3669]"
Саранск,"[54.1874,45.1839]"
Ростов-на-Дону,"[47.2224,39.7187]"
Пермский край,"[58.0105,56.2502]"
Кисловодск,"[43.9052,42.7168]"
Раменский район,"[55.5670,38.2304]"
Санкт-Петербург и Ленинградская область,"[59.9343,30.3351]"
Омск,"[54.9914,73.3645]"
Республика Дагестан,"[42.9831,47.5047]"
Нальчик,"[43.4853,43.6071]"
Тамбовская область,"[52.7212,41.4523]"
Алматы,"[43.2389,76.8897]"
Обнинск,"[55.0968,36.6101]"
Калужская область,"[54.5138,36.2612]"
Красноярский край,"[56.0184,92.8672]"
Нефтекамск,"[56.0880,54.2488]"
Саки,"[45.1345,33.6002]"
Воронежская область,"[51.6720,39.1843]"
Чувашская Республика,"[56.1439,47.2489]"
Восточно-Казахстанская область,"[49.9568,82.6209]"
Усть-Каменогорск,"[49.9485,82.6289]"
Сочи,"[43.5855,39.7231]"
Мытищи,"[55.9106,37.7367]"
Кызылорда,"[44.8488,65.4823]"
